"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1774570042329559296","Sun Mar 31 22:50:42 +0000 2024","0","Kebencian terhadap presiden akan semakin tinggi bagi siapa saja yg tdk ingin Indonesia maju. Ada byk pendukung salah satu paslon tertentu pastinya yg tdk suka presiden Jokowi makin sukses pimpin Indonesia krn hal tsb merugikan atau tdk ingin presiden makin di cintai rakyat nya. https://t.co/Zzo7TXRB5G","1774570042329559296","https://pbs.twimg.com/media/GKCKC1vaUAADOQU.jpg","","in","Kota Palembang, Sumatera Selat","0","0","0","https://x.com/YumaAr_/status/1774570042329559296","1297177103184482305","YumaAr_"
"1774514673892860238","Sun Mar 31 22:50:36 +0000 2024","1","@bread_selling @DrEvaChaniago @jokowi Takutnya dikomen Ya udah pindah sono! ","1774570017629372596","","bread_selling","in","","0","0","0","https://x.com/linkcanva/status/1774570017629372596","1744653764601192448","linkcanva"
"1774569900994134289","Sun Mar 31 22:50:08 +0000 2024","0","Sebenarnya gampang aja ungkap ijazah palsu jokowi..tinggal para guru besar bentuk tim independen utk bongkar ijazah palsu tsb dan dipublikasikan..lebih elegan daripada bicara etik tapi kepalsuan dibiarkan telanjang di UGM","1774569900994134289","","","in","DKI Jakarta, Indonesia","0","0","0","https://x.com/Elnino23706025/status/1774569900994134289","1600151935403053058","Elnino23706025"
"1774265627462799429","Sun Mar 31 22:49:57 +0000 2024","0","@JokoLipService berat hisab lu jok @jokowi","1774569854571581581","","JokoLipService","in","Depok, Indonesia","0","0","0","https://x.com/hippyyyyyyyyyy/status/1774569854571581581","1684630204441059330","hippyyyyyyyyyy"
"1774442154045440503","Sun Mar 31 22:49:38 +0000 2024","0","@5teV3n_Pe9eL betul dulu zainal bela mati2an jokowi .. jadi setuju klo dia bilang kita ","1774569773428596801","","V3g3L","in","","0","0","0","https://x.com/AkhmArifin/status/1774569773428596801","1665622185166389248","AkhmArifin"
"1774569576325681271","Sun Mar 31 22:48:51 +0000 2024","0","Indonesia emas 2045 fiktif belaka kalo gaji tenaga pendidik masih segini2 aja @nadiemmakarim @jokowi","1774569576325681271","","","in","","0","0","0","https://x.com/nadeeeelll/status/1774569576325681271","546385142","nadeeeelll"
"1774569222527766814","Sun Mar 31 22:47:27 +0000 2024","0","@prabowo badut politik @jokowi yg slalu dihantui dosa pelanggaran HAM berat yg skrg lg terombang ambing diambang kemaluan krn tdk legitimasi menangnya dan tdk diakui dunia sebab dia menang lwt kecurangan dan kecacatan yg terlihat secara kasat mata!!!","1774569222527766814","","prabowo","in","Bekasi, Jawa Barat","0","0","0","https://x.com/amr09999/status/1774569222527766814","1727574705492942848","amr09999"
"1774569111823225007","Sun Mar 31 22:47:00 +0000 2024","0","Sangat aneh Pramuka tidak lagi wajib ekskul Pramuka mengajarkan cinta tanah air dan alam untuk semua golongan berati kementerian bo*oh dan To*ol CC : @Kemdikbud_RI @DPR_RI @mprgoid @jokowi","1774569111823225007","","","in","Penggilingan, Jakarta Timur ","0","0","0","https://x.com/rizkyaziz16/status/1774569111823225007","1560511388","rizkyaziz16"
"1774457674752753944","Sun Mar 31 22:46:56 +0000 2024","0","@hnurwahid Menteri hanya alat rezim jokowi... so kapan bisa menurunkan jokowi... segala keresahan kerusakan negeri di tangan jokowi dan para pendukung oligarki... Jika gagal di turunkan... bagaimana nasib anak cucu kita kelak?? Apakah akan mjd negara sekuler??","1774569092810518816","","hnurwahid","in","","0","0","0","https://x.com/Thoyib83928012/status/1774569092810518816","1161802113606750208","Thoyib83928012"
"1774295413455221230","Sun Mar 31 22:46:29 +0000 2024","0","@zy_zy_its_me anda jg diam dan malah mendukung ktika kputusan MK 90 itu sdh jelas cacat secara hukum dan kputusan jokowi cawe cawe merestui gibarn maju itu jg tdk mencerminkan sikap kenegarawanan yg baik https://t.co/PPgoTAqV7F","1774568979643990456","https://pbs.twimg.com/ext_tw_video_thumb/1774568825817911296/pu/img/rtEveBi8D2Fx9uM_.jpg","zy_zy_lestary","in","","0","0","0","https://x.com/abi_priadi/status/1774568979643990456","1603811860553555968","abi_priadi"
"1774568970982674842","Sun Mar 31 22:46:27 +0000 2024","2","Gw bukan pendukung jokowi 2014 2019 tapi tetap pake KCIC kok wong bayar utang investasinya pake uang pajak gw","1774568970982674842","","","in","","0","0","0","https://x.com/Cibungbulanger/status/1774568970982674842","1603636472913199104","Cibungbulanger"
"1774556149343535393","Sun Mar 31 22:45:40 +0000 2024","0","@Kimberley_PS08 Nah dari aplikasi tsb lu bisa kok mengobservasi siapa2 pemain tambang di Sultra ini orang kecil macam sy bisa apa menghadapi perusahaan2 y punya duit banyak tsb. Sekedar info tambang di Sultra bertambah bnyk sejak rezim Jokowi bkuasa. Ribuan ha hutan Sultra habis.","1774568776543133773","","Kimberley_PS08","in","","0","0","0","https://x.com/mataairku/status/1774568776543133773","160488966","mataairku"
"1774347522292761039","Sun Mar 31 22:45:26 +0000 2024","0","@BR_Tamsyah @Minietweets_ Untung di bawah pimpinan pak Jokowi koruptornya segera ditangkap.","1774568715448983620","","BR_Tamsyah","in","","0","0","0","https://x.com/irw4n_be/status/1774568715448983620","2753415576","irw4n_be"
"1774362651273150666","Sun Mar 31 22:45:21 +0000 2024","0","@tempodotco Ya engga apa² lah kalau mau gratis pindah ke malaysia aja noh *narasi pendukung jokowi sekeluarga dan kroni²nya","1774568694817202434","","tempodotco","in","Indonesia Raya","0","0","0","https://x.com/dra_tio/status/1774568694817202434","231343037","dra_tio"
"1774367264256737574","Sun Mar 31 22:43:27 +0000 2024","0","@OposisiCerdas Rezim jokowi memaksa gribran menjadi wapres... rakyat berhak memaksa jokowi dan gibran turun... Perlu Harus Wajib Paksa Sampai turun...","1774568215236202753","","OposisiCerdas","in","","0","0","1","https://x.com/Thoyib83928012/status/1774568215236202753","1161802113606750208","Thoyib83928012"
"1774568190779203918","Sun Mar 31 22:43:21 +0000 2024","2","Sdh disiapkan pasukan liar utk buat kerusuhan dan mengawal si jokowi","1774568190779203918","","","in","DKI Jakarta, Indonesia","0","0","0","https://x.com/Elnino23706025/status/1774568190779203918","1600151935403053058","Elnino23706025"
"1774568044540641577","Sun Mar 31 22:42:46 +0000 2024","2","Kolaborasi rakyat pendukung @jokowi @prabowo dan @SBYudhoyono. Itu mematahkan kesombongan dari Capres-cawapres dan para pendukung 01 dan 03 menjadi seperti ranting rusak yg ga berbentuk. Sehingga logika berpikir sehat mereka terdegradasi karena kalah pilpres yg menyakitkan !","1774568044540641577","","","in","Bumiayu, Indonesia","0","1","0","https://x.com/sukardiyahya162/status/1774568044540641577","1539724674749579265","sukardiyahya162"
"1774404833757536633","Sun Mar 31 22:42:03 +0000 2024","1","@Penyair_Berdiri @jokowi Freeport lokasi tambangnya di Indonesia. Milik Indonesia juga? bukanlah... ","1774567866005864764","","Penyair_Berdiri","in","Indonesia","0","1","0","https://x.com/theopils/status/1774567866005864764","60308831","theopils"
"1774256028684816778","Sun Mar 31 22:41:58 +0000 2024","0","@jokowi Solusinya makzulkanDanHukumMatiJkw secepatnya https://t.co/GwqoxDjod0","1774567842547106065","https://pbs.twimg.com/media/GKCIB-NaAAATG61.jpg","jokowi","in","Indonesia","0","0","0","https://x.com/Safato_SFR/status/1774567842547106065","1584713605123276800","Safato_SFR"
"1774390456211984436","Sun Mar 31 22:41:40 +0000 2024","0","@VIVAcoid Tambah Pekog gak Sabaran mau menunggu Jatah Menteri buat PBNU KONON JOKOWI SDH MENJANJIKAN 1 KURSI MENTERI UTK PBNU....","1774567770287714518","","VIVAcoid","in","Yogyakarta, Indonesia","0","0","0","https://x.com/KhairulFat87870/status/1774567770287714518","1676702884665393152","KhairulFat87870"
"1774102275554001109","Sun Mar 31 22:41:18 +0000 2024","0","@H4T14K4LN4L42 @jokowi Kurang ajarrrrr kalian","1774567677375496695","","H4T14K4LN4L42","in","Pandeglang, Indonesia","0","0","0","https://x.com/SaranaBersama/status/1774567677375496695","1673028402360774657","SaranaBersama"
"1774567496294801683","Sun Mar 31 22:40:35 +0000 2024","0","Kan dr awal sy sdh sering blg pdip khususnya megawati dan dinastynya tdk pernah bnr² pro rakyat!!! Mrk banyak dosa dgn rakyat!!! malu kl trkuak mknya tetap pertahankan jokowi smp akhir ms jabatan!!! Takut kismin dan kader yg jd mentri tkt ga diksh jatah lg!!","1774567496294801683","","","in","Bekasi, Jawa Barat","0","0","0","https://x.com/amr09999/status/1774567496294801683","1727574705492942848","amr09999"
"1774567445052969337","Sun Mar 31 22:40:23 +0000 2024","0","Siapapun orang nya maling dan koruptor emang wajib di hukum berat. Termasuk di miskin kan. Sayang pemerintah msh tergantung sama parpol koalisi buat tentukan hukum. Termasuk presiden Jokowi yg masih terganjal parpol pengusung sehingga Harun msh buron. https://t.co/armyKvGrty","1774567445052969337","","","in","Kota Palembang, Sumatera Selat","0","2","0","https://x.com/YumaAr_/status/1774567445052969337","1297177103184482305","YumaAr_"
